page,titles,comment_count,source
5,Disappointed first time dad how can I help?,4,dads_corner
5,"Becoming a dad for the first time, baby due 7th December.",2,dads_corner
5,1st time Dad having trouble dealing with post partum partner,7,dads_corner
5,The time is approaching - what should I bring?,1,dads_corner
5,Wife is aggressive to kids and me,5,dads_corner
5,"Dads, please be careful",3,dads_corner
5,New here,12,dads_corner
5,Change,3,dads_corner
5,Pregnant ex keeps pushing me away.,2,dads_corner
5,What To Do,7,dads_corner
5,What to do about grandparents to be?,2,dads_corner
5,"*** size, baby size",2,dads_corner
5,Happy Father's Day !!!,0,dads_corner
5,Serious advice needed,3,dads_corner
5,Defiant 5 Year Old,6,dads_corner
5,Living situation,1,dads_corner
5,Issues with a Bottle,0,dads_corner
5,Need help,4,dads_corner
5,Confused,7,dads_corner
5,Became a Dad to twin boys a week ago yesterday!,3,dads_corner
5,How to Deal with Pushy Great Grandmother ,3,dads_corner
5,How to help,0,dads_corner
5,Getting Fit!!,6,dads_corner
5,Only finding women commenting on men's issues,8,dads_corner
5,Sex after birth,4,dads_corner
5,How would you feel? Male Opinion please!,12,dads_corner
5,i love my pregnant wife but I'm not sexually attracted anymore ,7,dads_corner
5,Post party depression for men?,2,dads_corner
5,Anyone else's wife made them join? ,10,dads_corner
5,Being a young dad,9,dads_corner
5,Have any of you dads been through this before? I know my ex is lying about being pregnant.,53,dads_corner
5,Overwhelmed,6,dads_corner
5,Birthday getaway?,1,dads_corner
5,IUI Non-bio dad,3,dads_corner
5,I’m getting fat,6,dads_corner
5,Help me,5,dads_corner
5,Need advice on calming baby.,2,dads_corner
5,Vasectomy ?,2,dads_corner
6,Crying whining fussing??,0,dads_corner
6,How to cope with no or little support,2,dads_corner
6,Advice,14,dads_corner
6,Trouble in paradise! Help!,2,dads_corner
6,"Trying again, a bit personal",10,dads_corner
6,Wife 6 months pregnant and threesomes??,7,dads_corner
6,Sleeping in the nude when kids are in the house?,5,dads_corner
6,Items that would make life easier,3,dads_corner
6,Wife texts me act work when kid is fussy,7,dads_corner
6,Step kids !!!!!!! ,2,dads_corner
6,Bush whacked,3,dads_corner
6,Twin Dads,1,dads_corner
6,PPD... How to deal???,3,dads_corner
6,Happy St.Patricks Day,1,dads_corner
6,6 month old and troubles sleeping,0,dads_corner
6,New Dad-Am I Doing Something Wrong?,4,dads_corner
6,When to tell my children they are adopted?,3,dads_corner
6,Food failire,2,dads_corner
6,"New here , new dad to be...... nasueous",8,dads_corner
6,Help sleep training!,1,dads_corner
6,Hormonal raging wife,9,dads_corner
6,iOS WTE App Update Is Here! (includes fixes),0,dads_corner
6,Fathers of toddlers questionnaire,3,dads_corner
6,Meet ups for new and already dads,2,dads_corner
6,First time dad,0,dads_corner
6,Balance,3,dads_corner
6,Just out of morbid curiosity . . .,1,dads_corner
6,SO: school punishments,1,dads_corner
6,Fun Dad Stories.,0,dads_corner
6,"Resentment, and shame",5,dads_corner
6,I genuinely think my wife might kill me in my sleep,16,dads_corner
6,Dealing with Step parent,3,dads_corner
6,I'm Here for Support.,4,dads_corner
6,Do you feel is unfair that you have to go to work while wife stays home?,15,dads_corner
6,Vindictive baby's mother,4,dads_corner
6,Stepping up as Dad,3,dads_corner
6,First Names,3,dads_corner
6,Your Girl ‘Best Friend’,12,dads_corner
6,Frequency of hand washing with new baby...,5,dads_corner
6,"Baby only wants mom for bedtime, how can I help?",5,dads_corner
6,Dad's sex life,2,dads_corner
6,Need your opinion please,6,dads_corner
6,Feel really awkward in any forum besides Dad’s Corner.,7,dads_corner
6,Two Sunday Borns,2,dads_corner
6,"Baby likes me, but only from a distance",3,dads_corner
6,What to do?,5,dads_corner
6,LDS Dads,5,dads_corner
6,Baby moved sharply in arms,4,dads_corner
6,Wife wants to take baby out to party,2,dads_corner
6,Need advice/Vent,2,dads_corner
7,Is this truly how he feels-,3,dads_corner
7,For the Fellas,1,dads_corner
7,Broke my foot... now baby is coming...,1,dads_corner
7,my wife wont even let me touch her belly is this normal,14,dads_corner
7,A Mans Perspective,2,dads_corner
7,Philadelphia Dad Meet Up,0,dads_corner
7,Am i Overacting??? PLEASE,2,dads_corner
7,How to tell your wife that our toddler should be at daycare full time,1,dads_corner
7,"1st battle completed, now the war begins! ",7,dads_corner
7,Disagreement about circumcision,3,dads_corner
7,First child,2,dads_corner
7,3 year old wants only Mommy.,5,dads_corner
7,Separation,0,dads_corner
7,Baby Todo List Help,4,dads_corner
7,Question-need a mans perspective,3,dads_corner
7,Baby Proofing Help: Floor Lamps,0,dads_corner
7,Chronic cough,2,dads_corner
7,Potty training advice for autistic son,1,dads_corner
7,Toddler bed recommendations,1,dads_corner
7,Scared and feel useless,2,dads_corner
7,Tell me what I can do to help with Mom’s sleep deprivation,9,dads_corner
7,Girlfriend says she feels distant and lost interest,4,dads_corner
7,Feeling isolated from my partner :(,3,dads_corner
7,Mother wants nothing to do with me,8,dads_corner
7,Struggling with becoming a dad,1,dads_corner
7,Gender reveal,4,dads_corner
7,Rap Music and Baby,4,dads_corner
7,"Elective C-section, how to get support from obgyn",5,dads_corner
7,how much time to take off work?,3,dads_corner
7,Reading to Baby in Utero ,5,dads_corner
7,Am I or Am I Not?,2,dads_corner
7,My girk friends aching alot what can i do ? Hormonal,3,dads_corner
7,Seeking job advice. ,2,dads_corner
7,Gender reveal!!!!,4,dads_corner
7,31 weeks pregnant and she left me,4,dads_corner
7,No more compassion,4,dads_corner
7,It's so hard...,7,dads_corner
7,Pregnant GF left me,6,dads_corner
7,Please Help,3,dads_corner
7,Scared...1st time dad,4,dads_corner
7,Do you worry about how your kid will survive when you’re gone?,1,dads_corner
7,Being a “Baby Daddy”,1,dads_corner
7,Fill out this survey please! (School project),0,dads_corner
7,Extra Income,2,dads_corner
7,Parents Split,3,dads_corner
7,Need advice from working dads,4,dads_corner
7,Dads please help!,3,dads_corner
7,Help!,7,dads_corner
7,Hello again,6,dads_corner
7,Previous Post Update: 3rd Trimester PT negative?,25,dads_corner
8,Food recommendations for the Mrs,3,dads_corner
8,I feel like my Mrs and her mum are having the baby,5,dads_corner
8,Coping with lack of communication from pregnant girlfriend,1,dads_corner
8,What's you opinion?,2,dads_corner
8,Bad Fiancé?,2,dads_corner
8,First time dad nervous,3,dads_corner
8,Hormones,3,dads_corner
8,First time dad with exgirlfriend needs encouragement,0,dads_corner
8,"She's scared, how do I help?",9,dads_corner
8,Early symptoms,2,dads_corner
8,New dad - feeling disconnected,5,dads_corner
8,Am I a bad father?,8,dads_corner
8,Paternal Postnatal Depression,0,dads_corner
8,Gilroy dads,0,dads_corner
8,Does husband want to separate? Wife seeking advice,2,dads_corner
8,Strategies to cope with teething?,1,dads_corner
8,Need Advice,1,dads_corner
8,"Wife wants to abort,but not me.",15,dads_corner
8,New love,3,dads_corner
8,??Advice For Soon To Be Fathers??,1,dads_corner
8,Fighting,1,dads_corner
8,8 Weeks Pregnant Insecurities,2,dads_corner
8,Wife’s vaginal exams,0,dads_corner
8,Job Issues,3,dads_corner
8,Am I a bad person for getting rid of dog after having baby,3,dads_corner
8,Need a mans opinion....,4,dads_corner
8,Help!,1,dads_corner
8,does my husband have postnatal depression,13,dads_corner
8,I know this is for dads but I need a male perspective please,22,dads_corner
8,My wife isn't being very healthy during the pregnancy and it makes me uncomfortable.,8,dads_corner
8,Fiancé feeling distant,2,dads_corner
8,Male Perspective - Why bring up the past?,6,dads_corner
8,Vasectomy question,1,dads_corner
8,How to I really have him hear me when I'm talking about Sympathy Weight?,1,dads_corner
8,Girlfriend is five months pregnant - how much excitement do I need to show?,8,dads_corner
8,Do i stay or do i leave? ,2,dads_corner
8,"Yes, being a new Dad is hard, but...",1,dads_corner
8,Please help with advice,1,dads_corner
8,Starting to lose feelings for pregnant ex,4,dads_corner
8,First time dad trying to manage newborn stress,12,dads_corner
8,What to expect for military dads,0,dads_corner
8,Feeling helpless,1,dads_corner
8,New father - Is it normal to feel mostly sad?,7,dads_corner
8,Ex pregnant girlfriend making it seem like I abandoned her ?,9,dads_corner
8,Space?,1,dads_corner
8,Mourning the End of My Life - Help Me Snap Out of It,9,dads_corner
8,Childcare: what would you do?,2,dads_corner
8,I Feel Useless,4,dads_corner
8,I have a question anybody welcome to answer,3,dads_corner
8,My pregnant partner lost feelings for me and has ended the relationship,3,dads_corner
9,Pregnant ex told me to stop contacting her,2,dads_corner
9,she caught me masturbating,36,dads_corner
9,Go to reveal party or not,2,dads_corner
9,Honest guys. How much different is it raising a daughter?,1,dads_corner
9,Moodiness. Feel useless,2,dads_corner
9,wifes sex dreams,7,dads_corner
9,Pregnant GF of 11w has just left me!,0,dads_corner
9,Stay strong fellas,20,dads_corner
9,"Dad to be. Very unstable, verbally abusive, pregnant girlfriend. Help.",17,dads_corner
9,I calmed my newborn baby boy by rapping a hip-hop song to him.,0,dads_corner
9,Need to vent and need advice,3,dads_corner
9,Pregnant ex doesn’t know what she wants,1,dads_corner
9,Unplanned and freaking,4,dads_corner
9,after birth,4,dads_corner
9,Be honest! Sex after childbirth!,3,dads_corner
9,Tons of questions,0,dads_corner
9,Need advice!,3,dads_corner
9,Nerves,3,dads_corner
9,My pregnant wife wants my dog gone,7,dads_corner
9,Not happy about this baby,14,dads_corner
9,Being disliked by mother of baby,2,dads_corner
9,in love but discouraged,6,dads_corner
9,Dad's with disabilites or limitations,12,dads_corner
9,How to help during pregnancy,3,dads_corner
9,Having a vasectomy soon after birth,12,dads_corner
9,Dad Bods!,9,dads_corner
9,terminally ill wife won't consider abortion,15,dads_corner
9,Asking about playtime,3,dads_corner
9,Low sex drive and the frustration.,2,dads_corner
9,Holding child for the first time.,7,dads_corner
9,My last name or hers?,4,dads_corner
9,Pregnant girlfriend kicked me out,9,dads_corner
9,Sexual frustration,44,dads_corner
9,Circumcision. For it/against it?,13,dads_corner
9,"Girlfriend is pregnant. Please help, I'm losing my mind.",8,dads_corner
9,“Working moms” and “girl bosses”,7,dads_corner
9,What to eat?,5,dads_corner
9,First baby shower,2,dads_corner
9,Some insight for first time Dad,3,dads_corner
9,In the delivery room or not?? ,9,dads_corner
9,??QUT???????/?QUT??????Q??551190476???????????????/?????????GPA???\QUT??????????\????????/???????/????????,0,dads_corner
9,Need some advice...,4,dads_corner
9,Almost always wrong...,3,dads_corner
9,Pregnant lady asking for advice please,3,dads_corner
9,DadsWhoGame LLC - All Fathers Support/Gaming Group,3,dads_corner
9,How can I soothe my colicky baby?,8,dads_corner
9,Hormone Stuff,3,dads_corner
9,Selfish father to be,8,dads_corner
9,"NEW - what to expect, nervous, etc.",4,dads_corner
9,just wanted to get it off my chest dad times,2,dads_corner
10,Interpreting baby belly signs,0,dads_corner
10,Worthlessness.,0,dads_corner
10,18 month old - staying up very late,2,dads_corner
10,In-laws staying for several months,12,dads_corner
10,1st Trimester,5,dads_corner
10,Gf hates my parents ~ how can I make peace?,21,dads_corner
10,Double life? Who does this to make a better life for your family?,3,dads_corner
10,"Premature baby, but healthy?",7,dads_corner
10,Father’s Opinions: Is it a single mother’s responsibility to seek the father’s involvement in the child’s life? Or should the father’s involvement come from their own desire to be present?,6,dads_corner
10,I need help im so scare & confuse,2,dads_corner
10,Fooooooooooood waste,1,dads_corner
10,Labor.,1,dads_corner
10,80-95 bpm at 6.3,5,dads_corner
10,need advice from both sides,3,dads_corner
10,Father’s day,1,dads_corner
10,labor fear panic attacks,7,dads_corner
10,Question for Dad’s to be.,2,dads_corner
10,Massachusetts??,3,dads_corner
10,"This is hard to bring up, but...",4,dads_corner
10,Wife tells me she hates me,5,dads_corner
10,Baby making sex,16,dads_corner
10,Husband question—from a prego woman,2,dads_corner
10,baby growth hormones?,0,dads_corner
10,Am I in the wrong?,0,dads_corner
10,Dog in same room as newborn ?,10,dads_corner
10,6 months baby black poo,4,dads_corner
10,Wife is in labor ...any advice,1,dads_corner
10,Mom doesn't think I do enough.,4,dads_corner
10,Pregnancy Anxiety,3,dads_corner
10,Gift ideas?,5,dads_corner
10,I understand but me too,4,dads_corner
10,Father's experience,8,dads_corner
10,Car seat question,7,dads_corner
10,First time dad,5,dads_corner
10,Unfit mother pregnant with my child,6,dads_corner
10,"Help!!! Mom in bad situation, need advice from men!",7,dads_corner
10,Miscarriage/still birth,9,dads_corner
10,How far do I go...,5,dads_corner
10,Men's mix emotion,2,dads_corner
10,"Chronic pelvic pain syndrome treatment, which one is the best?",3,dads_corner
10,Cries,7,dads_corner
10,Wife barely looks at me (8 mos PP),6,dads_corner
10,Will untreated prostatitis turn into prostate cancer?,1,dads_corner
10,Single income finances,5,dads_corner
10,Just a women needing men’s advice....,4,dads_corner
10,First Trimester. GF is annoyed by me,4,dads_corner
10,Hospital bag,5,dads_corner
10,How do deal with people giving somewhat stronger than it should be advice,7,dads_corner
10,pregnant partner is being mean,9,dads_corner
10,Miscarriage at 16 weeks,10,dads_corner
11,How to be Emotionally Supportive?,4,dads_corner
11,"Prostatitis foods to avoid, what should patients know?",1,dads_corner
11,Second Hand Smoke,2,dads_corner
11,"9 month old son, his mom is worried about a few things",4,dads_corner
11,18 yrold first time dad,8,dads_corner
11,He left me pregnant ... opinions?,2,dads_corner
11,4.5 month old,5,dads_corner
11,"Prostatitis running, is it good or bad?",1,dads_corner
11,Paternity leave.,16,dads_corner
11,“Older” Dad worries,16,dads_corner
11,33 weeks and 4 days..,2,dads_corner
11,Excessive alcoholic consumption may be related to prostatitis?,1,dads_corner
11,Need the men's opinions,19,dads_corner
11,Im trying to cut down on expenses. My girl thinks im trying to be cheap.,8,dads_corner
11,My sons mother will not let me have any contact whatsoever,2,dads_corner
11,"Any advice other than ""It'll get better"" or ""This too shall pass""?",10,dads_corner
11,4months Postpartum (no sex),23,dads_corner
11,What may the patient have when using amoxicillin for prostatitis?,1,dads_corner
11,I really need a mans advice here...,4,dads_corner
11,Mew dad feeling overwhelmed,2,dads_corner
11,What is the best chronic nonbacterial prostatitis treatment?,2,dads_corner
11,Feelings,1,dads_corner
11,Can prostatitis go away on its own?,1,dads_corner
11,Help,0,dads_corner
11,How to cure prostatitis at home?,1,dads_corner
11,Date ideas,5,dads_corner
11,Help for chronic bacterial prostatitis treatment,1,dads_corner
11,WIFE LEFT! advice and questions welcome. information is better than not having it.,5,dads_corner
11,I'm going to be dad and feel like I can't even look after myself!,4,dads_corner
11,The dreaded “I need space”,0,dads_corner
11,Fighting the Name Battle,4,dads_corner
11,"Prostatitis urinary tract infection keeps coming and going, how to cure?",1,dads_corner
11,"Chronic pelvic pain syndrome, a chronic disease in men",1,dads_corner
11,Chronic pelvic pain syndrome and its side mental effects,1,dads_corner
11,Advice from pregnancy/relationship,1,dads_corner
11,What are chronic bacterial prostatitis causes?,1,dads_corner
11,Who else is gaining weight?,4,dads_corner
11,Dad's Only Facebook Group - Support and Fun,2,dads_corner
11,Ex told me to stay away.,6,dads_corner
11,Worries/Fears...how to manage?!,1,dads_corner
11,Need advice kinda bummed,4,dads_corner
11,What would you do??,1,dads_corner
11,1st time Dad trouble!,8,dads_corner
11,24 year old expectant father. In need of advice.,4,dads_corner
11,Advice on pregnant woman's actions.,2,dads_corner
11,Hey everyone!,1,dads_corner
11,Navigating these hormones is like trying to fly though an asteroid field,3,dads_corner
11,Any advice,6,dads_corner
11,Anyone else see this?,5,dads_corner
11,3rd Shift and Then Full Time Dad,2,dads_corner
12,"Leaving for 10 weeks, need advice on how to handle being away from my daughter!",3,dads_corner
12,Daughter doesn’t seem to want me anymore?,2,dads_corner
12,I need some help,6,dads_corner
12,I designed an expecting dads shirt for womens day 2018,1,dads_corner
12,major arguments,5,dads_corner
12,im not being supportive,1,dads_corner
12,A mans advice please..,4,dads_corner
12,Pregnant wife cheating accusations,11,dads_corner
12,Nebraska?,2,dads_corner
12,Ways to show gratitude to SO,8,dads_corner
12,Low T,12,dads_corner
12,Induction Friday! How has your life changed since having a newborn?,3,dads_corner
12,Plane Travel,7,dads_corner
12,Need a guys opinion,5,dads_corner
12,Help...washing bottles sucks,8,dads_corner
12,First Time Dad,1,dads_corner
12,Feel Useless...,8,dads_corner
12,Outnumbered 5 to 1,0,dads_corner
12,I have a hard time trying to like her family...,3,dads_corner
12,My Girlfriend is so depressed. How can I help?,5,dads_corner
12,Am i the daddy?,11,dads_corner
12,7 weeks gone but the wife isn't showing symptoms....is this normal?,10,dads_corner
12,sdi,2,dads_corner
12,Young Daddy Syndrome,15,dads_corner
12,Looking for other fathers to have her time finding people to play video games PS4,0,dads_corner
12,Learn the Sex?,4,dads_corner
12,Boy pee standing up,8,dads_corner
12,Emergency Preparedness,4,dads_corner
12,"Writer for Fatherly looking for stories from dads: ""Great Moments In Parenting""",2,dads_corner
12,"Dads first, moms third",3,dads_corner
12,Trying to kick nasty habit,6,dads_corner
12,Possible condition for my first born,2,dads_corner
12,a guys advise on when you held your baby for the first time,7,dads_corner
12,Weigh in on this,7,dads_corner
12,Marriage is falling apart.,13,dads_corner
12,sex after C section,3,dads_corner
12,Unique situation(?): terrified with no where to turn.,4,dads_corner
12,Awesome changing table,5,dads_corner
12,P.E ... need help.,2,dads_corner
12,Need guys advise!,11,dads_corner
12,Older first-time dads?,11,dads_corner
12,What to expect?,7,dads_corner
12,There's a problem with our baby,4,dads_corner
12,Mental Health - Baby's and Mine,2,dads_corner
12,She wants to be on her own,4,dads_corner
12,Spouse has pulled away from me,7,dads_corner
12,Trying to wake up to help Wife,9,dads_corner
12,Petrified new dad week 7 tips appreciated,3,dads_corner
12,"GF wants abortion, but I feel wracked by guilt",96,dads_corner
12,Anxious about everything??,3,dads_corner
13,A lot of pressure on this one,4,dads_corner
13,Dealing with anxious and stressed out wife,4,dads_corner
13,"Complications in Week 5, venting & frustrated",4,dads_corner
13,Before and after care,1,dads_corner
13,Return of sex drive?,5,dads_corner
13,Woman uses pregnancy,7,dads_corner
13,Complete lack of motivation for exercise,2,dads_corner
13,WIfe won't let my mother watch our son over night or alone..advice??,5,dads_corner
13,New to this and glad to hear I'm not the only one having issues with girlfriend ,2,dads_corner
13,I was kicked (she need some space),2,dads_corner
13,Tips for a new SAHD,3,dads_corner
13,Kicked out of the house...,7,dads_corner
13,"I'm trying to be patient, but suffering from lack of intimacy",7,dads_corner
13,My heart is killing me. I love her so much..,2,dads_corner
13,"Expecting first child, probably",2,dads_corner
13,not sure if it's hormones or truth ,6,dads_corner
13,Anyone else seem to be the only person their kid doesn't like?...,1,dads_corner
13,Struggling Male - Week 11 (est),5,dads_corner
13,Girlfriend Self Conscious to point of being distant,3,dads_corner
13,Girlfriend seems distant,10,dads_corner
13,Struggling with first few days,2,dads_corner
